2021-10-13 17:00:16.413 [main] INFO  org.example.App - Entity{id=0, name='null', surname='null'}

2021-10-13 17:00:16.413 [main] INFO  org.example.App - Entity{id=0, name='null', surname='null'}

2021-10-13 17:00:16.413 [main] INFO  org.example.App - Entity{id=0, name='null', surname='null'}

2021-10-13 17:00:16.413 [main] INFO  org.example.App - Entity{id=0, name='null', surname='null'}

2021-10-13 17:00:16.413 [main] INFO  org.example.App - Entity{id=0, name='null', surname='null'}

2021-10-13 17:00:16.413 [main] INFO  org.example.App - Entity{id=0, name='null', surname='null'}

2021-10-13 17:00:16.423 [main] INFO  org.example.App - Entity{id=0, name='null', surname='null'}

2021-10-13 17:00:16.423 [main] INFO  org.example.App - Entity{id=0, name='null', surname='null'}

2021-10-13 17:00:16.423 [main] INFO  org.example.App - Entity{id=0, name='null', surname='null'}

2021-10-13 17:10:37.184 [main] INFO  org.example.App - Entity{id=0, name='null', surname='null'}

2021-10-13 17:10:37.187 [main] INFO  org.example.App - Entity{id=0, name='null', surname='null'}

2021-10-13 17:10:37.187 [main] INFO  org.example.App - Entity{id=0, name='null', surname='null'}

2021-10-13 17:10:37.187 [main] INFO  org.example.App - Entity{id=0, name='null', surname='null'}

2021-10-13 17:10:37.187 [main] INFO  org.example.App - Entity{id=0, name='null', surname='null'}

2021-10-13 17:10:37.188 [main] INFO  org.example.App - Entity{id=0, name='null', surname='null'}

2021-10-13 17:10:37.188 [main] INFO  org.example.App - Entity{id=0, name='null', surname='null'}

2021-10-13 17:10:37.188 [main] INFO  org.example.App - Entity{id=0, name='null', surname='null'}

2021-10-13 17:10:37.188 [main] INFO  org.example.App - Entity{id=0, name='null', surname='null'}

2021-10-13 17:10:53.404 [main] INFO  org.example.App - Entity{id=0, name='null', surname='null'}

2021-10-13 17:10:53.407 [main] INFO  org.example.App - Entity{id=0, name='null', surname='null'}

2021-10-13 17:10:53.407 [main] INFO  org.example.App - Entity{id=0, name='null', surname='null'}

2021-10-13 17:10:53.407 [main] INFO  org.example.App - Entity{id=0, name='null', surname='null'}

2021-10-13 17:10:53.407 [main] INFO  org.example.App - Entity{id=0, name='null', surname='null'}

2021-10-13 17:10:53.408 [main] INFO  org.example.App - Entity{id=0, name='null', surname='null'}

2021-10-13 17:10:53.408 [main] INFO  org.example.App - Entity{id=0, name='null', surname='null'}

2021-10-13 17:10:53.408 [main] INFO  org.example.App - Entity{id=0, name='null', surname='null'}

2021-10-13 17:10:53.408 [main] INFO  org.example.App - Entity{id=0, name='null', surname='null'}

2021-10-13 17:12:35.543 [main] INFO  org.example.App - Entity{id=0, name='null', surname='0'}

2021-10-13 17:12:35.548 [main] INFO  org.example.App - Entity{id=0, name='null', surname='1'}

2021-10-13 17:12:35.548 [main] INFO  org.example.App - Entity{id=0, name='null', surname='2'}

2021-10-13 17:12:35.548 [main] INFO  org.example.App - Entity{id=0, name='null', surname='3'}

2021-10-13 17:12:35.548 [main] INFO  org.example.App - Entity{id=0, name='null', surname='4'}

2021-10-13 17:12:35.548 [main] INFO  org.example.App - Entity{id=0, name='null', surname='5'}

2021-10-13 17:12:35.548 [main] INFO  org.example.App - Entity{id=0, name='null', surname='6'}

2021-10-13 17:12:35.548 [main] INFO  org.example.App - Entity{id=0, name='null', surname='7'}

2021-10-13 17:12:35.548 [main] INFO  org.example.App - Entity{id=0, name='null', surname='8'}

2021-10-13 17:12:35.548 [main] INFO  org.example.App - Entity{id=0, name='null', surname='9'}

2021-10-13 17:12:52.562 [main] INFO  org.example.App - Entity{id=0, name='name 0', surname='surname 0'}

2021-10-13 17:12:52.567 [main] INFO  org.example.App - Entity{id=1, name='name 1', surname='surname 1'}

2021-10-13 17:12:52.567 [main] INFO  org.example.App - Entity{id=2, name='name 2', surname='surname 2'}

2021-10-13 17:12:52.567 [main] INFO  org.example.App - Entity{id=3, name='name 3', surname='surname 3'}

2021-10-13 17:12:52.567 [main] INFO  org.example.App - Entity{id=4, name='name 4', surname='surname 4'}

2021-10-13 17:12:52.567 [main] INFO  org.example.App - Entity{id=5, name='name 5', surname='surname 5'}

2021-10-13 17:12:52.567 [main] INFO  org.example.App - Entity{id=6, name='name 6', surname='surname 6'}

2021-10-13 17:12:52.567 [main] INFO  org.example.App - Entity{id=7, name='name 7', surname='surname 7'}

2021-10-13 17:12:52.567 [main] INFO  org.example.App - Entity{id=8, name='name 8', surname='surname 8'}

2021-10-13 17:12:52.567 [main] INFO  org.example.App - Entity{id=9, name='name 9', surname='surname 9'}

2021-10-13 17:19:49.052 [main] INFO  org.example.App - Entity{id=0, name='name 0', surname='surname 0'}

2021-10-13 17:19:49.055 [main] INFO  org.example.App - Entity{id=1, name='name 1', surname='surname 1'}

